User id,Number of tweets before,Number of tweets after
246900597,3,2
325046050,2,1
2504194087,3,52
2394979196,3,3
497993118,3,4
52849750,1,3
558015518,1,1
151380535,1,1
467906920,1,1
2686525392,3,5
322635997,1,1
350490198,1,1
1448600947,1,1
829195994,2,1
66161521,1,2
315326824,2,1
1544202607,1,1
892253845,2,2
47659542,1,1
866787476,3,9
1710125714,2,2
1911445698,11,11
995984264,1,1
179782805,1,1
457911846,1,1
348885737,1,1
92286015,1,2
880477082,1,1
220127914,1,1
1919389194,1,2
379879161,1,1
266444120,2,3
2478774020,1,1
465566694,1,1
2306864216,2,1
90037336,1,2
21241078,2,1
186821595,7,2
147526496,1,1
159290502,3,3
2313497669,1,1
21741985,1,1
802066086,1,1
2412320372,3,1
19550464,1,1
232141090,1,3
1317439381,1,1
547933105,1,1
2551093850,5,2
858232788,3,2
2432790751,1,1
2569979475,5,1
612212567,2,4
50980611,4,5
296363095,1,1
606043490,6,2
898614354,4,6
131795445,1,2
2493370207,3,1
2356629433,1,1
28982030,1,2
105862718,1,1
94581343,1,1
290560845,1,1
904605452,1,1
48752517,4,5
97150159,4,3
1521057685,1,1
263654614,15,10
241983890,12,15
1126672327,1,1
524495795,1,1
2263570564,1,1
242742241,1,1
20811374,1,1
171267183,1,1
916519712,1,1
1260422832,2,4
151680702,1,1
368355058,1,1
2195006237,1,1
158165652,2,6
323308694,2,4
173964792,2,3
16168407,1,1
869265468,6,10
1151298290,1,1
412503221,1,1
384857402,1,1
2521522134,7,28
20466483,1,2
317707710,1,1
118027407,4,3
65750745,2,1
418737887,1,1
1684527998,1,2
150798322,2,2
1467321206,1,1
1161863712,3,1
2466892028,1,1
2286411504,1,2
248912585,2,2
2200415798,1,1
629154942,1,1
2388904424,1,13
1623800876,1,1
818633466,1,1
2452172798,5,3
2344954841,1,1
334306198,4,1
2481708740,1,5
42410467,2,2
176880919,3,1
1526542189,1,1
43776290,1,1
38371909,2,1
314970315,1,3
11673252,4,2
15029227,3,7
21579696,1,1
348893416,2,1
401227583,1,1
241608523,2,16
992486455,14,32
405350717,1,2
250799134,1,1
277136490,1,1
388019608,1,1
728957455,51,160
39389124,2,3
2548836536,1,2
1953086202,3,1
2538112034,2,2
345501108,1,2
231893497,1,2
482971278,1,2
259763847,1,2
1332317438,1,1
2568796218,3,11
1589272380,2,2
276762142,2,2
22146197,3,5
714513542,4,3
237572596,2,2
384744686,1,1
21775637,13,24
1041439057,1,15
564681005,4,8
612245013,1,5
386267180,1,7
243942106,3,2
1559428555,2,5
706494874,1,2
620759151,1,5
219148478,2,1
164676906,3,8
947306017,1,1
238992325,1,1
556261687,2,2
16090877,1,2
304435305,1,1
218107857,4,19
55895815,1,1
192188416,2,3
2197742483,1,2
